Symbol,Shortname,Currency,Previousclose,Open,Daylow,Dayhigh,Regularmarketpreviousclose,Regularmarketopen,Regularmarketdaylow,Regularmarketdayhigh,Dividendrate,Dividendyield,Fiveyearavgdividendyield,Beta,Trailingpe,Forwardpe,Volume,Marketcap,Fiftytwoweeklow,Fiftytwoweekhigh,Pricetosalestrailing12months,Fiftydayaverage,Twohundreddayaverage,Profitmargins,Bookvalue,Pricetobook,Earningsquarterlygrowth,Netincometocommon,Trailingeps,Forwardeps,Enterprisetorevenue,Enterprisetoebitda,52weekchange,Ebitda,Totaldebt,Quickratio,Currentratio,Totalrevenue,Debttoequity,Revenuepershare,Returnonassets,Returnonequity,Grossprofits,Freecashflow,Operatingcashflow,Earningsgrowth,Revenuegrowth,Grossmargins,Ebitdamargins,Operatingmargins,Trailingpegratio
AADI,"Aadi Bioscience, Inc.",USD,3.14,3.1,3.0,3.1,3.14,3.1,3.0,3.1,0.0,0.0,0.0,0.37,0.0,-2.43,49815.0,0.08,1.21,3.81,2.99,2.69,2.0,-246.06,2.8,1.09,0.0,-61687000.0,-2.28,-1.01,0.63,-0.25,0.82,-63395000.0,946000.0,4.37,4.89,0.03,1.37,0.93,-0.35,-65.95,-0.03,-0.04,-54141000.0,0.0,21.0,-1.1,-252.87,-1.49,0.0
AADR,AdvisorShares Dorsey Wright,USD,74.51,72.97,74.25,74.51,74.51,72.97,74.25,74.51,0.0,0.0,0.0,0.0,15.99,0.0,908.0,0.0,54.57,75.27,0.0,69.58,64.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAL,"American Airlines Group, Inc.",USD,16.96,16.8,16.7,17.54,16.96,16.8,16.7,17.54,0.0,0.0,1.27,1.4,13.99,5.59,23262299.0,11.41,9.07,19.1,0.21,16.41,13.03,0.51,-7.39,0.0,0.0,275000000.0,1.24,2.02,0.79,8.38,0.14,5066999808.0,39173001216.0,0.42,0.57,53.61,0.0,81.7,0.03,0.0,12.89,0.45,2233999872.0,0.0,1.2,0.24,9.45,0.05,0.21
AAME,Atlantic American Corporation,USD,1.51,1.44,1.44,1.55,1.51,1.44,1.44,1.55,0.02,0.01,0.65,0.46,0.0,0.0,17009.0,0.03,1.26,3.0,0.17,1.54,1.66,-1.69,5.26,0.29,0.0,-3550000.0,-0.36,0.0,0.29,-151.81,-0.42,-352000.0,40120000.0,0.95,1.33,0.19,39.85,9.12,-0.0,-3.09,0.01,0.01,2615000.0,0.0,-3.1,0.08,-0.19,0.0,0.0
AAOI,"Applied Optoelectronics, Inc.",USD,30.69,28.58,25.8,29.72,30.69,28.58,25.8,29.72,0.0,0.0,0.0,1.96,0.0,28.8,3491016.0,1.28,6.7,44.5,6.11,34.16,17.4,-38.61,4.73,5.48,0.0,-80900000.0,-2.04,0.73,7.02,-30.17,0.92,-48747000.0,121316000.0,0.93,1.61,0.21,57.2,5.35,-0.11,-41.44,0.05,-0.04,-43360000.0,0.0,4.2,0.26,-23.26,-0.25,0.0
AAON,"AAON, Inc.",USD,132.71,128.78,114.67,129.38,132.71,128.78,114.67,129.38,0.32,0.0,0.54,0.79,51.33,39.75,828323.0,9.51,69.54,144.07,7.86,129.8,101.02,15.78,9.81,11.93,-0.67,190918000.0,2.28,2.93,8.95,34.84,0.87,310718016.0,40000000.0,1.72,3.06,1.21,8.58,14.86,0.16,25.81,0.43,0.09,243436992.0,-68.6,16.8,0.36,25.69,0.04,0.0
AAPB,GraniteShares 2x Long AAPL Dail,USD,26.48,26.79,26.67,28.24,26.48,26.79,26.67,28.24,0.0,0.0,0.0,0.0,0.0,0.0,684224.0,0.0,15.91,36.48,0.0,30.97,26.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPD,Direxion Daily AAPL Bear 1X Sha,USD,17.17,17.04,16.58,17.05,17.17,17.04,16.58,17.05,0.0,0.0,0.0,0.0,0.0,0.0,816707.0,0.0,14.7,23.72,0.0,16.09,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPG,0.0,USD,17.38,17.39,17.0,17.5,17.38,17.39,17.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,110734.0,0.0,17.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,Apple Inc.,USD,222.78,224.03,224.0,230.48,222.78,224.03,224.0,230.48,1.0,0.0,0.61,1.24,37.86,27.76,44504743.0,3461.69,164.08,260.1,8.85,239.14,218.1,23.97,3.77,61.11,-0.36,93736001536.0,6.08,8.31,8.75,25.41,0.16,134660997120.0,119058997248.0,0.74,0.87,391.03,209.06,25.48,0.21,157.41,180.68,110.85,118254002176.0,-34.1,6.1,0.46,34.44,0.31,2.03
